PRODUTO           |KIT ID             |QTDE            |COD INTERNO
TMW 4X1850        |101-4-4            |          1,0000|        11155
TMW 4X1950        |100-4-4            |          1,0000|        11040
TMW 4X1950        |100R7-4 A          |          1,9500|       334835
TMW 4X1950        |101-4-4            |          1,0000|        11155
TMW 4X2660        |100-6-4            |          1,0000|        11046
TMW 4X2660        |100R7-4 A          |          2,6600|       334835
TMW 4X2660        |101-2-4            |          1,0000|        11149
TMW 4X760         |100R7-4 A          |          0,7600|       334835
TMW 4X760         |101-4-4            |          1,0000|        11155
TMW 4X760         |112-4-4            |          1,0000|        11440
TMW 8X1050        |100-8-8            |          2,0000|        11054
TMW 8X1050        |100R2AT-8          |          1,0500|        11108
TMW 8X1200        |100-8-8            |          2,0000|        11054
TMW 8X1200        |100R2AT-8          |          1,2000|        11108
TMW 8X1300        |100-10-8           |          1,0000|        11023
TMW 8X1300        |100R2AT-8          |          1,3000|        11108
TMW 8X1300        |103-8-8            |          1,0000|        11252
TMW 8X2000        |100-10-8           |          1,0000|        11023
TMW 8X2000        |100R2AT-8          |          2,0000|        11108
TMW 8X2000        |103-12-8           |          1,0000|        11229
TMW 8X4200        |100-10-8           |          2,0000|        11023
TMW 8X4200        |100R2AT-8          |          4,2000|        11108
TMW 8X900         |100R2AT-8          |          0,9000|        11108
TMW 8X900         |103-10-8           |          2,0000|        11225
TMW.1/2X2000      |100-10-8           |          2,0000|        11023
TMW.1/2X2000      |100R2AT-8          |          2,0000|        11108
TMW.10X3500       |100-10-10          |          1,0000|        11020
TMW.10X3500       |100R2AT-10         |          3,5000|        11099
TMW.10X3500       |103-12-10          |          1,0000|        11226
TMW.8X1050        |100-10-8           |          1,0000|        11023
TMW.8X1050        |100R2AT-8          |          1,0500|        11108
TMW.8X1050        |103-10-8           |          1,0000|        11225
TMW.8X4200        |100-10-8           |          1,0000|        11023
TMW.8X4200        |100R2AT-8          |          4,2000|        11108
TMW.8X4200        |103-12-8           |          1,0000|        11229
TP 4X8000         |100R2AT-4          |          8,0000|        11105
