CODIGO|NOME
1|MANGUEIRAS 
2|TERMINAIS 
3|CONEXOES LATAO 
4|CONEXOES ACO 
5|ENGATES 
6|TUBOS NYLON/POLIETILENO 
7|MANGUEIRAS MONTADAS 
8|ADAPTADORES ACO 
9|ANEIS O'RING 
10|ABRACADEIRAS 
11|TUBOS COBRE/ACO 
12|KIT 
13|MATERIAL DE CONSUMO PROPRIO 
14|CONEXOES EM INOX 
15|PROTECAO PARA MANGUEIRA 
16|CONEXOES TUBOS GALVANIZADO 
17|VALVULAS E REGISTROS 
18|CONEXOES EM COBRE 
19|MATERIAIS DIVERSOS 
20|CONEXOES INSTANTANEAS PLASTICA 
21|MANOMETROS 
