BARRA           |NOME                                      |GRUPO  |UNIDADE     |ICMS       |ORIGEM    |COMPRA         |MARGEM     |VENDA          |EST MINIMO       |EST ATUAL        |KIT  |ATIVO  |COD INTERNO|NCM           |RED BASE   |OBS1                                                          |OBS2
0003CP3/16X1/8  |CONECTOR MACHO 0003CP 3/16X1/8N           |      3|UN          |     0,0000|060       |           1,56|   100,0000|           3,12|          50,0000|         128,0000|N    |S      |    10048  |74122000      |     0,0000|                                                              |                                                              
0003CP5/16X1/4  |CONECTOR MACHO 0003CP 5/16X1/4N           |      3|UN          |    18,0000|000       |           2,17|   100,0000|           4,34|          50,0000|        1538,0000|N    |S      |    10051  |74122000      |     0,0000|                                                              |                                                              
0003CP5/16X1/8  |CONECTOR MACHO 0003CP 5/16X1/8N           |      3|UN          |    18,0000|000       |           3,50|   100,0000|           7,00|          50,0000|         438,0000|N    |S      |    10052  |74122000      |     0,0000|                                                              |                                                              
0003CP5/32X1/8  |CONECTOR MACHO 0003CP 5/32X1/8N           |      3|UN          |    18,0000|000       |           2,00|   100,0000|           4,00|          50,0000|         409,0000|N    |S      |    10053  |74122000      |     0,0000|                                                              |                                                              
0004CP 1/2      |UNIAO 0004CP 1/2                          |      3|UN          |    18,0000|000       |           5,84|   100,0000|          11,68|          50,0000|         488,0000|N    |S      |    10055  |74122000      |     0,0000|                                                              |                                                              
0004CP 1/4      |UNIAO 0004CP 1/4                          |      3|UN          |    18,0000|000       |           2,30|   100,0000|           4,60|          50,0000|        1393,0000|N    |S      |    10056  |74122000      |     0,0000|                                                              |                                                              
0004CP 10MM     |UNIAO 0004CP 10MM                         |      3|UN          |     0,0000|060       |           5,00|   100,0000|          10,00|          50,0000|         154,0000|N    |S      |    10058  |74122000      |     0,0000|                                                              |                                                              
0004CP 12MM     |UNIAO 0004CP 12MM                         |      3|UN          |     0,0000|060       |           6,85|   100,0000|          13,70|          50,0000|         103,0000|N    |S      |    10061  |74122000      |     0,0000|                                                              |                                                              
0004CP 14MM     |UNIAO 0004CP 14MM                         |      3|UN          |    18,0000|000       |          14,50|   100,0000|          29,00|           5,0000|         -10,0000|N    |S      |    10063  |74122000      |     0,0000|                                                              |                                                              
0004CP 3/16     |UNIAO 0004CP 3/16                         |      3|UN          |    18,0000|000       |           2,21|   100,0000|           4,42|          50,0000|         193,0000|N    |S      |    10066  |74122000      |     0,0000|                                                              |                                                              
0004CP 3/8      |UNIAO 0004CP 3/8                          |      3|UN          |    18,0000|000       |           3,90|   100,0000|           7,80|          50,0000|        1166,0000|N    |S      |    10067  |74122000      |     0,0000|                                                              |                                                              
0004CP 5/16     |UNIAO 0004CP 5/16                         |      3|UN          |    18,0000|000       |           3,10|   100,0000|           6,20|           0,0000|        1503,0000|N    |S      |    10069  |74122000      |     0,0000|                                                              |                                                              
0004CP 5/8      |UNIAO 0004CP 5/8                          |      3|UN          |    18,0000|000       |          11,20|   100,0000|          22,40|           0,0000|          26,0000|N    |S      |    10071  |74122000      |     0,0000|                                                              |                                                              
0004CP 6MM      |UNIAO 0004CP 6MM                          |      3|UN          |     0,0000|060       |           3,38|   100,0000|           6,76|          50,0000|          72,0000|N    |S      |    10072  |74122000      |     0,0000|                                                              |                                                              
0004CP 8MM      |UNIAO 0004CP 8MM                          |      3|UN          |    18,0000|000       |           4,40|   100,0000|           8,80|          50,0000|         101,0000|N    |S      |    10074  |74122000      |     0,0000|                                                              |                                                              
0005CP 1/4X1/4  |CONECTOR FEMEA 0005CP 1/4X1/4N            |      3|UN          |    18,0000|000       |           2,29|   100,0000|           4,58|          50,0000|         155,0000|N    |S      |    10075  |74122000      |     0,0000|                                                              |                                                              
0005CP 1/4X1/8  |CONECTOR FEMEA 0005CP 1/4X1/8N            |      3|UN          |    18,0000|000       |           1,77|   100,0000|           3,54|          50,0000|         195,0000|N    |S      |    10076  |74122000      |     0,0000|                                                              |                                                              
0005CP 1/8X1/8  |CONECTOR FEMEA 0005CP 1/8X1/8N            |      3|UN          |    18,0000|000       |           1,90|   100,0000|           3,80|           0,0000|         160,0000|N    |S      |    10077  |74122000      |     0,0000|                                                              |                                                              
0005CP 3/8X1/4  |CONECTOR FEMEA 0005CP 3/8X1/4             |      4|UN          |    18,0000|000       |           2,95|   100,0000|           5,90|          10,0000|         173,0000|N    |S      |    10078  |74152000      |     0,0000|                                                              |                                                              
0005CP5/16X1/4  |CONECTOR FEMEA 0005CP 5/16X1/4N           |      3|UN          |    18,0000|000       |           2,77|   100,0000|           5,54|           0,0000|         305,0000|N    |S      |    10081  |74122000      |     0,0000|                                                              |                                                              
0005CP5/32X1/8  |CONECTOR FEMEA 0005CP 5/32X1/8N           |      3|UN          |    18,0000|000       |           1,94|   100,0000|           3,88|           0,0000|         346,0000|N    |S      |    10082  |74122000      |     0,0000|                                                              |                                                              
0006CP 1/2X1/2  |COTOVELO MACHO 0006CP 1/2X1/2N            |      3|UN          |    18,0000|000       |           9,09|   100,0000|          18,18|          50,0000|          62,0000|N    |S      |    10083  |74122000      |     0,0000|                                                              |                                                              
0006CP 1/2X3/8  |COTOVELO MACHO 0006CP 1/2X3/8N            |      3|UN          |    18,0000|000       |           8,06|   100,0000|          16,12|          50,0000|          47,0000|N    |S      |    10085  |74122000      |     0,0000|                                                              |                                                              
0006CP 1/4X1/4  |COTOVELO MACHO 0006CP 1/4X1/4N            |      3|UN          |    18,0000|000       |           3,85|   100,0000|           7,70|          50,0000|        1428,0000|N    |S      |    10086  |74122000      |     0,0000|                                                              |                                                              
0006CP 1/4X1/8  |COTOVELO MACHO 0006CP 1/4X1/8N            |      3|UN          |    18,0000|000       |           3,11|   100,0000|           6,22|          50,0000|         478,0000|N    |S      |    10087  |74122000      |     0,0000|                                                              |                                                              
0006CP 10X1/4   |COTOVELO MACHO 0006CP 10X1/4N             |      3|UN          |    18,0000|000       |           9,30|   100,0000|          18,60|           0,0000|          32,0000|N    |S      |    10090  |74122000      |     0,0000|                                                              |                                                              
0006CP 3/8X1/2  |COTOVELO MACHO 0006CP 3/8X1/2N            |      3|UN          |    18,0000|000       |          13,50|   100,0000|          27,00|          10,0000|          33,0000|N    |S      |    10094  |74122000      |     0,0000|                                                              |                                                              
0006CP 3/8X1/4  |COTOVELO MACHO 0006CP 3/8X1/4N            |      3|UN          |    18,0000|000       |           4,43|   100,0000|           8,86|          50,0000|         663,0000|N    |S      |    10095  |74122000      |     0,0000|                                                              |                                                              
0006CP 3/8X1/8  |COTOVELO MACHO 0006CP 3/8X1/8N            |      3|UN          |    18,0000|000       |           4,96|   100,0000|           9,92|          50,0000|          47,0000|N    |S      |    10096  |              |     0,0000|                                                              |                                                              
0006CP 3/8X3/8  |COTOVELO MACHO 0006CP 3/8X3/8N            |      3|UN          |    18,0000|000       |           5,50|   100,0000|          11,00|          50,0000|          48,0000|N    |S      |    10097  |              |     0,0000|                                                              |                                                              
0006CP 8X1/4    |COTOVELO MACHO 0006CP 08X1/4N             |      3|UN          |    18,0000|000       |           5,64|   100,0000|          11,28|           5,0000|         160,0000|N    |S      |    10098  |74122000      |     0,0000|                                                              |                                                              
0006CP3/16X1/8  |COTOVELO MACHO 0006CP 3/16X1/8N           |      3|UN          |    18,0000|000       |           2,90|   100,0000|           5,80|          50,0000|         358,0000|N    |S      |    10101  |74122000      |     0,0000|                                                              |                                                              
0006CP5/16X1/4  |COTOVELO MACHO 0006CP 5/16X1/4N           |      3|UN          |    18,0000|000       |           4,87|   100,0000|           9,74|          50,0000|         776,0000|N    |S      |    10103  |74122000      |     0,0000|                                                              |                                                              
0006CP5/16X1/8  |COTOVELO MACHO 0006CP 5/16X1/8N           |      3|UN          |    18,0000|000       |           4,08|   100,0000|           8,16|          50,0000|         150,0000|N    |S      |    10104  |74122000      |     0,0000|                                                              |                                                              
0008CP 1/4X1/8  |COTOVELO FEMEA 0008CP 1/4X1/8             |      3|UN          |    18,0000|000       |           6,17|   100,0000|          12,34|           5,0000|         120,0000|N    |S      |    10110  |              |     0,0000|                                                              |                                                              
0010CP 1/4X1/4  |TEE MACHO CENTRAL 0010CP 1/4X1/4N         |      3|UN          |    18,0000|000       |           5,16|   100,0000|          10,32|          50,0000|          82,0000|N    |S      |    10112  |74122000      |     0,0000|                                                              |                                                              
0010CP3/16X1/8  |TEE MACHO CENTRAL 0010CP 3/16X1/8N        |      3|UN          |    18,0000|000       |           4,20|   100,0000|           8,40|           0,0000|          18,0000|N    |S      |    10115  |74122000      |     0,0000|                                                              |                                                              
0012CP 3/8      |TEE UNIAO 0012CP 3/8                      |      3|UN          |    18,0000|000       |           7,12|   100,0000|          14,24|          50,0000|          68,0000|N    |S      |    10123  |74122000      |     0,0000|                                                              |                                                              
0012CP 5/16     |TEE UNIAO 0012CP 5/16                     |      3|UN          |    18,0000|000       |           6,74|   100,0000|          13,48|          50,0000|         470,0000|N    |S      |    10124  |74122000      |     0,0000|                                                              |                                                              
0012CP 6MM      |TEE UNIAO 0012CP 6MM                      |      3|UN          |    18,0000|000       |           5,83|   100,0000|          11,66|           5,0000|          38,0000|N    |S      |    10126  |74122000      |     0,0000|                                                              |                                                              
0202CG 1/4      |FLANGE CONICA 0202CG 1/4                  |      3|UN          |    18,0000|000       |           1,08|   100,0000|           2,16|          50,0000|        1482,0000|N    |S      |    10156  |74122000      |     0,0000|                                                              |                                                              
0202CG 5/16     |FLANGE CONICA 0202CG 5/16                 |      3|UN          |    18,0000|000       |           1,34|   100,0000|           2,68|          50,0000|         473,0000|N    |S      |    10160  |74122000      |     0,0000|                                                              |                                                              
