BARRA           |NOME                                      |GRUPO  |UNIDADE     |ICMS       |ORIGEM    |COMPRA         |MARGEM     |VENDA          |EST MINIMO       |EST ATUAL        |KIT  |ATIVO  |COD INTERNO|NCM           |RED BASE   |OBS1                                                          |OBS2
1.1/4X500       |MANGUEIRA 1.1/4X500                       |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           0,0000|           0,0000|N    |S      |    10879  |40092110      |     0,0000|                                                              |                                                              
1.1/4X770       |MANGUEIRA 1.1/4X770                       |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           1,0000|           0,0000|N    |S      |    10882  |40092110      |     0,0000|                                                              |                                                              
1.3/8X1400      |MANGUEIRA 1.3/8X1400                      |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           0,0000|          -1,0000|N    |S      |    10901  |40092110      |     0,0000|                                                              |                                                              
1.3/8X1500      |MANGUEIRA 1.3/8X1500                      |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           0,0000|          -1,0000|N    |S      |    10902  |40092110      |     0,0000|                                                              |                                                              
1.3/8X500       |MANGUEIRA 1.3/8X500                       |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           0,0000|          -1,0000|N    |S      |    10903  |40092110      |     0,0000|                                                              |                                                              
1/2X10MTS       |MANGUEIRA 1/2X10000                       |      7|UN          |    18,0000|000       |           0,00|     0,0000|           0,00|           0,0000|          14,0000|N    |S      |    10921  |              |     0,0000|                                                              |                                                              
1/2X1200        |MANGUEIRA 1/2X1200                        |     12|UN          |    18,0000|000       |          35,12|   100,0280|          70,25|           0,0000|           1,0000|N    |S      |    10923  |40092110      |     0,0000|                                                              |                                                              
1/2X12MTS       |MANGUEIRA 1/2X12MTS                       |     12|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           0,0000|           0,0000|S    |S      |    10924  |              |     0,0000|                                                              |                                                              
1/2X1500        |MANGUEIRA 1/2X1500                        |     12|UN          |    18,0000|000       |          33,55|   100,0000|          67,10|           0,0000|          -3,0000|N    |S      |    10929  |40092110      |     0,0000|                                                              |                                                              
1/2X1800        |MANGUEIRA 1/2X1800                        |      7|UN          |    18,0000|000       |          47,67|   100,0200|          95,35|           0,0000|          -1,0000|N    |S      |    10933  |40092110      |     0,0000|                                                              |                                                              
1/2X250         |MANGUEIRA 1/2X230                         |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           0,0000|           0,0000|N    |S      |    10938  |40092110      |     0,0000|                                                              |                                                              
1/2X2500        |MANGUEIRA 1/2X2500                        |      7|UN          |    18,0000|000       |          41,26|   100,0000|          82,52|           0,0000|           2,0000|N    |S      |    10939  |40092110      |     0,0000|                                                              |                                                              
1/2X3200        |MANGUEIRA 1/2X3300                        |     12|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           0,0000|          -3,0000|N    |S      |    10945  |40092110      |     0,0000|                                                              |                                                              
1/2X4500        |MANGUEIRA 1/2X4500                        |      7|UN          |    18,0000|000       |          81,55|   100,0000|         163,10|           0,0000|           1,0000|N    |S      |    10952  |40092110      |     0,0000|                                                              |                                                              
1/2X6MTS        |MANGUEIRA 1/2X6000                        |      7|UN          |    18,0000|000       |          74,70|   100,0000|         149,40|           0,0000|           2,0000|N    |S      |    10962  |40092110      |     0,0000|                                                              |                                                              
1/2X850         |MANGUEIRA 1/2X850                         |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           0,0000|          -1,0000|N    |S      |    10966  |40092110      |     0,0000|                                                              |                                                              
1/2X870         |MANGUEIRA 1/2X870                         |      7|UN          |    18,0000|000       |           1,00|   100,0000|           2,00|           1,0000|           9,0000|N    |S      |    10967  |40092110      |     0,0000|                                                              |                                                              
1/2X940         |MANGUEIRA 1/2X940                         |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           1,0000|           0,0000|N    |S      |    10971  |40092110      |     0,0000|                                                              |                                                              
1/4X10MTS       |MANGUEIRA 1/4X10000 C/PROTECAO            |     12|UN          |    18,0000|000       |         112,80|   100,0000|         225,60|           0,0000|          45,0000|N    |S      |    10974  |40092110      |     0,0000|                                                              |                                                              
1/4X1400        |MANGUEIRA 1/4X1400                        |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           0,0000|           0,0000|N    |S      |    10980  |40092110      |     0,0000|                                                              |                                                              
1/4X1600        |MANGUEIRA 1/4X1600                        |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           0,0000|          -1,0000|N    |S      |    10983  |40092110      |     0,0000|                                                              |                                                              
1/4X1700        |MANGUEIRA 1/4X1700                        |      7|UN          |    18,0000|000       |          10,98|   100,0000|          21,96|           0,0000|           5,0000|N    |S      |    10984  |40092110      |     0,0000|                                                              |                                                              
1/4X1900        |MANGUEIRA 1/4X1900                        |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           0,0000|           6,0000|N    |S      |    10986  |40092110      |     0,0000|                                                              |                                                              
1/4X2300        |MANGUEIRA 1/4X2300                        |      7|UN          |    18,0000|000       |          23,48|   100,1270|          46,99|           0,0000|           1,0000|N    |S      |    10992  |40092110      |     0,0000|                                                              |                                                              
1/4X3100        |MANGUEIRA 1/4X3100                        |     12|UN          |    18,0000|000       |          13,02|   100,0760|          26,05|           0,0000|           0,0000|S    |S      |    10997  |40092110      |     0,0000|                                                              |                                                              
1/4X480         |MANGUEIRA 1/4X480                         |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           1,0000|           0,0000|N    |S      |    11003  |40092110      |     0,0000|                                                              |                                                              
1/4X5000        |MANGUEIRA 1/4X5000                        |      7|UN          |    18,0000|000       |          46,00|   100,0000|          92,00|           0,0000|          16,0000|N    |S      |    11005  |40092110      |     0,0000|                                                              |                                                              
1/4X550         |MANGUEIRA 1/4X550                         |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           1,0000|           2,0000|N    |S      |    11007  |40092110      |     0,0000|                                                              |                                                              
1/4X850         |MANGUEIRA 1/4X850                         |      7|UN          |    18,0000|000       |           0,00|  -100,0000|           0,00|           0,0000|          -2,0000|N    |S      |    11016  |40092110      |     0,0000|                                                              |                                                              
100-10-10       |TERMINAL FG 7/8X5/8                       |      2|UN          |     0,0000|060       |          14,90|   100,0000|          29,80|           1,0000|         741,0000|N    |S      |    11020  |73079900      |     0,0000|                                                              |                                                              
100-10-12       |TERMINAL FG 7/8X3/4                       |      2|UN          |    18,0000|000       |          14,90|   100,0000|          29,80|           1,0000|         134,0000|N    |S      |    11021  |84329000      |     0,0000|                                                              |                                                              
100-10-6        |TERMINAL FG 7/8X3/8                       |      2|UN          |    18,0000|000       |           8,10|   100,0000|          16,20|           1,0000|          94,0000|N    |S      |    11022  |84329000      |     0,0000|                                                              |                                                              
100-10-8        |TERMINAL FG 7/8X1/2                       |      2|UN          |     0,0000|060       |          10,50|   100,0000|          21,00|           1,0000|        3714,0000|N    |S      |    11023  |73071920      |     0,0000|                                                              |                                                              
100-10-8-I      |TERMINAL FG 7/8X1/2 INOX                  |      2|UN          |    18,0000|000       |          43,00|   100,0000|          86,00|           0,0000|          -1,0000|N    |S      |    11024  |84329000      |     0,0000|                                                              |                                                              
100-12-10       |TERMINAL FG 1.1/16X5/8                    |      2|UN          |     0,0000|060       |          13,90|   100,0000|          27,80|           1,0000|         708,0000|N    |S      |    11025  |73071920      |     0,0000|                                                              |                                                              
100-12-12       |TERMINAL FG 1.1/16X3/4                    |      2|UN          |     0,0000|060       |          16,00|   100,0000|          32,00|          10,0000|        3082,0000|N    |S      |    11026  |73079900      |     0,0000|                                                              |                                                              
100-12-16       |TERMINAL FG 1.1/16X1                      |      2|UN          |    18,0000|000       |          18,01|   100,0000|          36,02|           1,0000|          29,0000|N    |S      |    11028  |84329000      |     0,0000|                                                              |                                                              
100-12-8        |TERMINAL FG 1.1/16X1/2                    |      2|UN          |    18,0000|000       |          12,90|   100,0000|          25,80|           1,0000|         271,0000|N    |S      |    11029  |84329000      |     0,0000|                                                              |                                                              
100-14-12       |TERMINAL FG 1.3/16 X3/4                   |      2|UN          |    18,0000|000       |          14,95|   100,0000|          29,90|           1,0000|           0,0000|N    |S      |    11030  |73071920      |     0,0000|                                                              |                                                              
100-16-10       |TERMINAL FG 1.5/16 X5/8                   |      2|UN          |    18,0000|000       |           8,80|   100,0000|          17,60|           1,0000|           1,0000|N    |N      |    11031  |              |     0,0000|                                                              |                                                              
100-16-12       |TERMINAL FG 1.5/16X3/4                    |      2|UN          |    18,0000|000       |          15,90|   100,0000|          31,80|           1,0000|         276,0000|N    |S      |    11032  |84329000      |     0,0000|                                                              |                                                              
100-16-16       |TERMINAL FG 1.5/16X1                      |      2|UN          |     0,0000|060       |          28,90|   100,0000|          57,80|           1,0000|        1844,7200|N    |S      |    11033  |73079900      |     0,0000|                                                              |                                                              
100-20-16       |TERMINAL FG 1.5/8X1                       |      2|UN          |     0,0000|060       |          32,00|   100,0000|          64,00|           1,0000|          39,0000|N    |S      |    11035  |73071920      |     0,0000|                                                              |                                                              
100-20-20       |TERMINAL FG 1.5/8X1.1/4                   |      2|UN          |     0,0000|060       |          49,50|   100,0000|          99,00|           1,0000|         351,0000|N    |S      |    11036  |73079900      |     0,0000|                                                              |                                                              
100-24-20       |TERMINAL FG 1.7/8X1.1/4                   |      2|UN          |    18,0000|000       |          38,20|   100,0000|          76,40|           1,0000|          29,0000|N    |S      |    11037  |84329000      |     0,0000|                                                              |                                                              
100-24-24       |TERMINAL FG 1.7/8X1.1/2                   |      2|UN          |     0,0000|060       |          69,80|   100,0000|         139,60|           1,0000|         544,0000|N    |S      |    11038  |73079900      |     0,0000|                                                              |                                                              
100-32-32       |TERMINAL FG 2 1/2X2                       |      2|UN          |     0,0000|060       |          99,90|   100,0000|         199,80|           0,0000|         253,0000|N    |S      |    11039  |73079900      |     0,0000|                                                              |                                                              
100-4-4         |TERMINAL FG 7/16X1/4                      |      2|UN          |     0,0000|060       |           5,90|   100,0000|          11,80|           3,0000|        5147,0000|N    |S      |    11040  |73079900      |     0,0000|                                                              |                                                              
100-4-4 I       |TERMINAL FG 7/16X1/4 INOX                 |     14|UN          |    18,0000|000       |          22,50|   100,0000|          45,00|           0,0000|          -4,0000|N    |N      |    11041  |              |     0,0000|TERMINAL 100-4-4 CONFECCIONADO EM INOX PELA MANG MOLAS        |                                                              
100-4-6         |TERMINAL FG 7/16X3/8                      |      2|UN          |    18,0000|000       |           7,20|   100,0000|          14,40|           5,0000|          31,0000|N    |S      |    11042  |73071920      |     0,0000|                                                              |                                                              
100-5-4         |TERMINAL FG 1/2X1/4                       |      2|UN          |     0,0000|060       |           6,90|   100,0000|          13,80|           5,0000|        1599,0000|N    |S      |    11043  |73071920      |     0,0000|                                                              |                                                              
100-5-6         |TERMINAL FG 1/2X3/8                       |      2|UN          |    18,0000|000       |           2,86|   100,0000|           5,73|           1,0000|           0,0000|N    |N      |    11045  |              |     0,0000|                                                              |                                                              
100-6-4         |TERMINAL FG 9/16X1/4                      |      2|UN          |     0,0000|060       |           6,90|   100,0000|          13,80|           5,0000|        2031,0000|N    |S      |    11046  |73079900      |     0,0000|                                                              |                                                              
100-6-5         |TERMINAL FG 9/16X5/16                     |      2|UN          |     0,0000|060       |           6,90|   100,0000|          13,80|           5,0000|          78,0000|N    |S      |    11047  |73071920      |     0,0000|                                                              |                                                              
100-6-6         |TERMINAL FG 9/16X3/8                      |      2|UN          |     0,0000|060       |           6,90|   100,0000|          13,80|           1,0000|        4964,0000|N    |S      |    11048  |73079900      |     0,0000|                                                              |                                                              
100-6-8         |TERMINAL FG 9/16X1/2                      |      2|UN          |    18,0000|000       |          10,90|   100,0000|          21,80|           1,0000|          74,0000|N    |S      |    11049  |84329000      |     0,0000|                                                              |                                                              
100-8-4         |TERMINAL FG 3/4X1/4                       |      2|UN          |    18,0000|000       |           5,90|   100,0000|          11,80|           5,0000|          11,0000|N    |S      |    11051  |73071920      |     0,0000|                                                              |                                                              
100-8-6         |TERMINAL FG 3/4X3/8                       |      2|UN          |     0,0000|060       |           8,90|   100,0000|          17,80|           1,0000|        1675,0000|N    |S      |    11053  |73079900      |     0,0000|                                                              |                                                              
100-8-8         |TERMINAL FG 3/4X1/2                       |      2|UN          |     0,0000|060       |           9,80|   100,0000|          19,60|           1,0000|        3128,0000|N    |S      |    11054  |73079900      |     0,0000|                                                              |                                                              
1003            |ANEL O'RING 1003 1.42X1.80                |      9|UN          |    18,0000|000       |           0,02|    10,0000|           0,02|         500,0000|          42,0000|N    |N      |    11059  |              |     0,0000|                                                              |                                                              
1004            |ANEL O'RING 1004 1.78X1.80                |      9|UN          |    18,0000|000       |           0,02|   100,0000|           0,04|         500,0000|         -39,0000|N    |S      |    11060  |              |     0,0000|                                                              |                                                              
1005            |ANEL O'RING 1005 2.57X1.80                |      9|UN          |    18,0000|000       |           0,05|   100,0000|           0,10|         500,0000|         -69,0000|N    |S      |    11061  |              |     0,0000|                                                              |                                                              
1006            |ANEL ORING 1006 2.90X1.80                 |      9|UN          |     0,0000|060       |           0,20|   100,0000|           0,40|         500,0000|         487,0000|N    |S      |    11062  |40169300      |     0,0000|                                                              |                                                              
1007            |ANEL ORING 1007 3.68X1.80                 |      9|UN          |     0,0000|060       |           0,20|   100,0000|           0,40|         500,0000|         395,0000|N    |S      |    11063  |40169300      |     0,0000|                                                              |                                                              
1008            |ANEL ORING 1008 4.47X1.80                 |      9|UN          |     0,0000|060       |           0,01|   100,0000|           0,02|         500,0000|        1993,0000|N    |S      |    11065  |40169300      |     0,0000|                                                              |                                                              
1009            |ANEL ORING 1009 5.28X1.80                 |      9|UN          |     0,0000|060       |           0,01|   100,0000|           0,02|         500,0000|        1658,0000|N    |S      |    11066  |40169300      |     0,0000|                                                              |                                                              
100R12-10       |MANGUEIRA 100R12 5/8                      |      1|MT          |    18,0000|000       |          48,00|   100,0000|          96,00|           1,0000|         176,9400|N    |S      |    11067  |40092110      |     0,0000|                                                              |                                                              
100R12-12       |MANGUEIRA 100R12 3/4                      |      1|MT          |    18,0000|000       |          59,00|   100,0000|         118,00|           1,0000|         937,2050|N    |S      |    11068  |40092110      |     0,0000|                                                              |                                                              
100R12-16       |MANGUEIRA 100R12 1 4TA                    |      1|MT          |    18,0000|000       |          92,00|   100,0000|         184,00|           1,0000|         593,4900|N    |S      |    11069  |40092110      |     0,0000|                                                              |                                                              
100R12-20       |MANGUEIRA 100R12 1.1/4                    |      1|MT          |    18,0000|000       |         150,60|   100,0000|         301,20|           1,0000|         195,7120|N    |S      |    11070  |40092110      |     0,0000|                                                              |                                                              
100R12-24       |MANGUEIRA 100R12 1.1/2                    |      1|MT          |    18,0000|000       |         130,00|   100,0000|         260,00|           1,0000|         189,9900|N    |S      |    11071  |40092190      |     0,0000|                                                              |                                                              
100R12-6        |MANGUEIRA 100R12 3/8                      |      1|MT          |    18,0000|000       |          25,61|   100,0000|          51,22|           0,0000|          64,7000|N    |S      |    11072  |40092110      |     0,0000|                                                              |                                                              
100R12-8        |MANGUEIRA 100R12 1/2                      |      1|MT          |    18,0000|000       |          31,00|   100,0000|          62,00|           1,0000|         484,0700|N    |S      |    11073  |40092190      |     0,0000|                                                              |                                                              
100R13-12       |MANGUEIRA 100R13 3/4                      |      1|MT          |    18,0000|000       |          32,87|   100,0200|          65,75|           1,0000|           3,4000|N    |N      |    11074  |              |     0,0000|                                                              |                                                              
100R13-16       |MANGUEIRA 100R15 1                        |      1|MT          |    18,0000|000       |         134,60|   100,0000|         269,20|           1,0000|         469,3400|N    |S      |    11075  |40092110      |     0,0000|                                                              |                                                              
100R13-24       |MANGUEIRA 100R13 1.1/2                    |      1|UN          |    18,0000|000       |         148,00|   100,0000|         296,00|           0,0000|         -31,7400|N    |S      |    11076  |              |     0,0000|                                                              |                                                              
100R1A-16       |MANGUEIRA 100R1A 1`                       |      1|MT          |    18,0000|000       |          20,96|   100,0000|          41,92|           1,0000|          -4,5000|N    |N      |    11078  |              |     0,0000|                                                              |                                                              
100R1A-4        |MANGUEIRA 100R1A 1/4                      |      1|MT          |    18,0000|000       |           7,14|   100,0000|          14,28|           1,0000|         -47,0700|N    |N      |    11079  |              |     0,0000|                                                              |                                                              
100R1AT-10      |MANGUEIRA 100R1AT 5/8                     |      1|MT          |    18,0000|000       |          10,50|   100,0000|          21,00|           1,0000|        1206,0750|N    |S      |    11082  |40093100      |     0,0000|                                                              |                                                              
100R1AT-12      |MANGUEIRA 100R1AT 3/4                     |      1|MT          |    18,0000|000       |          18,90|   100,0000|          37,80|           1,0000|        3982,5300|N    |S      |    11083  |40092110      |     0,0000|                                                              |                                                              
100R1AT-16      |MANGUEIRA 100R1AT 1                       |      1|MT          |    18,0000|000       |          23,60|   100,0000|          47,20|           1,0000|        1184,4920|N    |S      |    11084  |40092110      |     0,0000|                                                              |                                                              
100R1AT-20      |MANGUEIRA 100R1AT 1.1/4                   |      1|MT          |    18,0000|000       |          39,95|   100,0000|          79,90|          10,0000|         338,9200|N    |S      |    11085  |40092110      |     0,0000|                                                              |                                                              
100R1AT-24      |MANGUEIRA 100R1AT 1.1/2                   |      1|MT          |    18,0000|000       |          36,00|   100,0000|          72,00|           1,0000|         566,1750|N    |S      |    11086  |40092110      |     0,0000|                                                              |                                                              
100R1AT-3       |MANGUEIRA 100R1AT 3/16                    |      1|MT          |    18,0000|000       |           6,00|   100,0000|          12,00|           0,0000|         321,3200|N    |S      |    11087  |40092190      |     0,0000|                                                              |                                                              
100R1AT-32      |MANGUEIRA 100R1AT 2                       |      1|MT          |    18,0000|000       |          59,90|   100,0000|         119,80|           0,0000|         537,8900|N    |S      |    11088  |40092110      |     0,0000|                                                              |                                                              
100R1AT-4       |MANGUEIRA 100R1AT 1/4                     |      1|MT          |    18,0000|000       |           7,90|   100,0000|          15,80|           1,0000|        8683,9900|N    |S      |    11089  |40091100      |     0,0000|                                                              |                                                              
100R1AT-4 JET   |MANGUEIRA 100R1AT-4 JET                   |      1|MT          |    18,0000|000       |           3,95|   100,1428|           7,91|          50,0000|         507,1200|N    |N      |    11090  |              |     0,0000|                                                              |                                                              
100R1AT-5       |MANGUEIRA 100R1AT 5/16                    |      1|MT          |    18,0000|000       |           6,50|   100,0000|          13,00|           1,0000|         631,8100|N    |S      |    11091  |40093100      |     0,0000|                                                              |                                                              
100R1AT-6       |MANGUEIRA 100R1AT 3/8                     |      1|MT          |    18,0000|000       |           9,80|   100,0000|          19,60|           1,0000|        5101,7800|N    |S      |    11092  |40092110      |     0,0000|                                                              |                                                              
100R1AT-8       |MANGUEIRA 100R1AT 1/2                     |      1|MT          |    18,0000|000       |          12,00|   100,0000|          24,00|           1,0000|        2731,2200|N    |S      |    11093  |40092110      |     0,0000|                                                              |                                                              
100R2A-10       |MANGUEIRA 100R2A 5/8                      |      1|MT          |    18,0000|000       |          11,89|   100,0000|          23,78|           0,0000|         348,2000|N    |N      |    11094  |              |     0,0000|                                                              |                                                              
100R2A-12       |MANGUEIRA 100R2A 3/4                      |      1|MT          |    18,0000|000       |          20,80|   100,0000|          41,60|           1,0000|          61,7500|N    |N      |    11095  |              |     0,0000|                                                              |                                                              
100R2A-6        |MANGUEIRA 100R2A 3/8                      |      1|MT          |    18,0000|000       |          11,81|   100,0000|          23,62|           1,0000|          -0,5000|N    |N      |    11097  |              |     0,0000|                                                              |                                                              
100R2A-8        |MANGUEIRA 100R2A 1/2                      |      1|MT          |    18,0000|000       |          12,45|   100,0000|          24,90|          50,0000|         -22,3000|N    |N      |    11098  |              |     0,0000|                                                              |                                                              
100R2AT-10      |MANGUEIRA 100R2AT 5/8                     |      1|MT          |    18,0000|000       |          21,00|   100,0000|          42,00|           1,0000|        1967,1440|N    |S      |    11099  |40092110      |     0,0000|                                                              |                                                              
100R2AT-12      |MANGUEIRA 100R2AT 3/4                     |      1|MT          |    18,0000|000       |          25,60|   100,0000|          51,20|           1,0000|        2794,4580|N    |S      |    11100  |40092110      |     0,0000|                                                              |                                                              
100R2AT-16      |MANGUEIRA 100R2AT 1                       |      1|MT          |    18,0000|000       |          29,00|   100,0000|          58,00|           1,0000|        1839,6650|N    |S      |    11101  |40092110      |     0,0000|                                                              |                                                              
100R2AT-20      |MANGUEIRA 100R2AT 1.1/4                   |      1|MT          |    18,0000|000       |          51,00|   100,0000|         102,00|           1,0000|         411,9300|N    |S      |    11102  |40092110      |     0,0000|                                                              |                                                              
100R2AT-24      |MANGUEIRA 100R2AT 1.1/2                   |      1|MT          |    18,0000|000       |          57,00|   100,0000|         114,00|          10,0000|         520,5000|N    |S      |    11103  |40092110      |     0,0000|                                                              |                                                              
100R2AT-32      |MANGUEIRA 100R2AT 2                       |      1|MT          |    18,0000|000       |          73,50|   100,0000|         147,00|           1,0000|         465,1500|N    |S      |    11104  |40092190      |     0,0000|                                                              |                                                              
100R2AT-4       |MANGUEIRA 100R2AT 1/4                     |      1|MT          |    18,0000|000       |           9,80|   100,0000|          19,60|           1,0000|        4275,8200|N    |S      |    11105  |40092110      |     0,0000|                                                              |                                                              
100R2AT-5       |MANGUEIRA 100R2AT 5/16                    |      1|MT          |    18,0000|000       |          11,00|   100,0000|          22,00|           0,0000|         125,7000|N    |S      |    11106  |40092110      |     0,0000|                                                              |                                                              
100R2AT-6       |MANGUEIRA 100R2AT 3/8                     |      1|MT          |    18,0000|000       |          13,00|   100,0000|          26,00|           1,0000|        5041,5140|N    |S      |    11107  |40092110      |     0,0000|                                                              |                                                              
100R2AT-8       |MANGUEIRA 100R2AT 1/2                     |      1|MT          |    18,0000|000       |          14,90|   100,0000|          29,80|           1,0000|        5919,9150|N    |S      |    11108  |40092110      |     0,0000|                                                              |                                                              
100R3-16        |MANGUEIRA 100R3 1`                        |      1|MT          |    18,0000|000       |          40,79|   100,0156|          81,59|           0,0000|           9,9000|N    |N      |    11110  |              |     0,0000|                                                              |                                                              
100R4-16        |MANGUEIRA 100R4 1.SUCCAO                  |      1|UN          |    18,0000|000       |          34,32|   100,0192|          68,66|           0,0000|          -8,6000|N    |N      |    11112  |              |     0,0000|                                                              |                                                              
100R5-10        |MANGUEIRA 100R5 1/2                       |      1|MT          |    18,0000|000       |          16,00|   100,0000|          32,00|           1,0000|          76,9600|N    |S      |    11113  |40092110      |     0,0000|                                                              |                                                              
100R5-12        |MANGUEIRA 100R5 5/8                       |      1|MT          |    18,0000|000       |          21,00|   100,0000|          42,00|           1,0000|          50,1200|N    |S      |    11114  |40092110      |     0,0000|                                                              |                                                              
100R5-16        |MANGUEIRA 100R5 7/8                       |      1|MT          |    18,0000|000       |          31,00|   100,0000|          62,00|           1,0000|         336,1000|N    |S      |    11115  |40092110      |     0,0000|                                                              |                                                              
100R5-20        |MANGUEIRA 100R5 1.1/8                     |      1|MT          |    18,0000|000       |          39,00|   100,0000|          78,00|          20,0000|          59,1300|N    |S      |    11116  |40092110      |     0,0000|                                                              |                                                              
100R5-24        |MANGUEIRA 100R5 1.3/8                     |      1|MT          |    18,0000|000       |          57,00|   100,0000|         114,00|           1,0000|         181,0100|N    |S      |    11117  |40092110      |     0,0000|                                                              |                                                              
100R5-32        |MANGUEIRA 100R5 1.13/16                   |      1|MT          |     0,0000|060       |         116,00|   100,0000|         232,00|           1,0000|          58,4400|N    |S      |    11118  |40092110      |     0,0000|                                                              |                                                              
100R5-4         |MANGUEIRA 100R5 3/16                      |      1|MT          |    18,0000|000       |          14,00|   100,0000|          28,00|           0,0000|          69,8900|N    |S      |    11119  |40092110      |     0,0000|                                                              |                                                              
100R5-40        |MANGUEIRA 100R5 2.3/8                     |      1|MT          |    18,0000|000       |         338,73|   100,0000|         677,46|           0,0000|           0,6000|N    |S      |    11120  |40092190      |     0,0000|                                                              |                                                              
100R5-5         |MANGUEIRA 100R5 1/4                       |      1|MT          |    18,0000|000       |           7,10|   100,0000|          14,20|           1,0000|          73,3800|N    |S      |    11121  |40092110      |     0,0000|                                                              |                                                              
100R5-6         |MANGUEIRA 100R5 5/16                      |      1|MT          |    18,0000|000       |          10,30|   100,0000|          20,60|           1,0000|          90,0000|N    |S      |    11122  |              |     0,0000|                                                              |                                                              
100R5-8         |MANGUEIRA 100R5 13/32                     |      1|MT          |    18,0000|000       |          11,00|   100,0000|          22,00|           1,0000|          78,1600|N    |S      |    11123  |40092190      |     0,0000|                                                              |                                                              
100R6-10        |MANGUEIRA LOR 100R6 5/8                   |      1|MT          |    18,0000|000       |          12,70|   100,0000|          25,40|           1,0000|         631,2400|N    |S      |    11125  |40094100      |     0,0000|                                                              |                                                              
100R6-12        |MANGUEIRA LOR 100R6 3/4                   |      1|MT          |    18,0000|000       |          18,00|   100,0000|          36,00|           1,0000|         382,2950|N    |S      |    11126  |40094100      |     0,0000|                                                              |                                                              
100R6-16        |MANGUEIRA LOR 100R6 1                     |      1|MT          |    18,0000|000       |          23,00|   100,0000|          46,00|           1,0000|         431,2400|N    |S      |    11127  |40094100      |     0,0000|                                                              |                                                              
100R6-3         |MANGUEIRA LOR 100R6 3/16                  |      1|MT          |    18,0000|000       |           5,13|   100,0000|          10,26|           1,0000|         145,3000|N    |S      |    11128  |40094100      |     0,0000|                                                              |                                                              
100R6-4         |MANGUEIRA LOR 100R6 1/4                   |      1|MT          |    18,0000|000       |           7,90|   100,0000|          15,80|           1,0000|         677,1300|N    |S      |    11129  |40094100      |     0,0000|                                                              |                                                              
100R6-5         |MANGUEIRA LOR 100R6 5/16                  |      1|MT          |    18,0000|000       |           7,79|   100,0000|          15,58|           0,0000|        1615,7700|N    |S      |    11130  |40094100      |     0,0000|                                                              |                                                              
100R6-6         |MANGUEIRA LOR 100R6 3/8                   |      1|MT          |    18,0000|000       |          12,00|   100,0000|          24,00|           1,0000|         855,8900|N    |S      |    11131  |40094100      |     0,0000|                                                              |                                                              
